
@relation all-data-pacman
@attribute pacmanDirec {West, East, North, South, Stop}
@attribute pacmanXpos NUMERIC
@attribute pacmanYpos NUMERIC
@attribute LivingGhost1 {False, True}
@attribute LivingGhost2 {False, True}
@attribute LivingGhost3 {False, True}
@attribute LivingGhost4 {False, True}
@attribute ghost1XPos NUMERIC
@attribute ghost1YPos NUMERIC
@attribute ghost2XPos NUMERIC
@attribute ghost2YPos NUMERIC
@attribute ghost3XPos NUMERIC
@attribute ghost3YPos NUMERIC
@attribute ghost4XPos NUMERIC
@attribute ghost4YPos NUMERIC
@attribute ghost1Dist NUMERIC
@attribute ghost2Dist NUMERIC
@attribute ghost3Dist NUMERIC
@attribute ghost4Dist NUMERIC
@attribute currentScore NUMERIC
@attribute pacmanNextXPosition NUMERIC
@attribute pacmanNextYPosition NUMERIC
@attribute nextScore NUMERIC
@attribute action {West, East, North, South, Stop}
@data
Stop,12,10,True,True,True,True,5,7,5,11,13,6,13,12,10,8,5,4,-1,12,11,-2,North
North,12,11,True,True,True,True,5,8,5,12,12,6,14,12,10,8,5,2,-2,12,12,-3,North
North,12,12,True,True,True,True,5,8,6,12,12,6,13,12,11,6,6,2,-3,12,12,-4,East
East,13,12,True,True,True,True,4,8,6,11,12,7,13,11,13,8,6,1,-4,13,11,195,South
South,13,11,True,True,True,False,4,9,6,11,12,8,7,1,11,7,4,0,195,13,10,194,South
South,13,10,True,True,True,False,3,9,6,11,11,8,7,1,11,8,4,0,194,13,9,193,South
South,13,9,True,True,True,False,3,8,7,11,11,7,7,1,11,8,4,0,193,13,8,192,South
South,13,8,True,True,True,False,2,8,6,11,11,6,7,1,11,10,4,0,192,13,8,191,West
West,12,8,True,True,True,False,2,9,7,11,11,5,7,1,11,8,4,0,191,12,8,190,West
West,11,8,True,True,True,False,2,9,7,11,10,5,7,1,10,7,4,0,190,11,7,189,South
South,11,7,True,True,True,False,3,9,7,10,10,6,7,1,10,7,2,0,189,11,6,188,South
South,11,6,True,True,False,False,2,9,7,9,5,1,7,1,12,7,0,0,388,11,6,387,West
West,10,6,True,True,False,False,3,9,6,9,5,1,7,1,10,7,0,0,387,10,6,386,West
West,9,6,True,True,False,False,3,9,6,10,5,1,7,1,9,7,0,0,386,9,6,385,West
West,8,6,True,True,False,False,3,9,6,9,5,1,7,1,8,5,0,0,385,8,6,384,West
West,7,6,True,True,False,False,3,9,7,9,5,1,7,1,7,3,0,0,384,7,6,383,West
West,6,6,True,True,False,False,4,9,7,9,5,1,7,1,5,4,0,0,383,6,7,382,North
North,6,7,True,True,False,False,3,9,8,9,5,1,7,1,5,4,0,0,382,6,8,381,North
North,6,8,True,True,False,False,2,9,7,9,5,1,7,1,5,2,0,0,381,6,8,380,West
West,5,8,True,True,False,False,1,9,7,8,5,1,7,1,5,2,0,0,380,5,8,379,West
West,4,8,True,True,False,False,1,8,7,7,5,1,7,1,3,4,0,0,379,4,8,378,West
West,3,8,True,True,False,False,1,9,6,7,5,1,7,1,3,4,0,0,378,3,9,377,North
North,3,9,True,True,False,False,1,9,6,7,5,1,7,1,2,5,0,0,377,3,9,376,West
West,2,9,False,True,False,False,1,1,7,7,5,1,7,1,0,7,0,0,576,2,9,575,West
West,1,9,False,True,False,False,1,1,8,7,5,1,7,1,0,9,0,0,575,1,8,574,South
South,1,8,False,True,False,False,1,1,7,7,5,1,7,1,0,7,0,0,574,1,8,573,East
East,2,8,False,True,False,False,1,1,6,7,5,1,7,1,0,5,0,0,573,2,8,572,East
East,3,8,False,True,False,False,1,1,5,7,5,1,7,1,0,3,0,0,572,3,8,571,East
East,4,8,False,True,False,False,1,1,4,7,5,1,7,1,0,1,0,0,571,4,8,570,East
East,5,8,False,True,False,False,1,1,5,7,5,1,7,1,0,1,0,0,570,5,7,769,South
Stop,11,10,True,True,True,True,5,5,7,10,21,9,25,14,11,4,11,18,0,11,10,-1,Stop
Stop,11,10,True,True,True,True,6,5,6,10,21,10,25,14,10,5,10,18,-1,11,10,-2,West
West,10,10,True,True,True,True,5,5,5,10,21,9,25,14,10,5,12,20,-2,10,10,-3,West
West,9,10,True,True,True,True,5,5,5,9,22,9,25,15,9,5,14,20,-3,9,10,-4,West
West,8,10,True,True,True,True,6,5,4,9,22,10,25,14,7,5,14,20,-4,8,10,-5,West
West,7,10,True,True,True,True,6,6,5,9,22,10,24,14,5,3,15,20,-5,7,10,-6,West
West,6,10,True,True,True,True,6,7,5,9,23,10,24,13,3,2,17,22,-6,6,9,93,South
South,6,9,True,True,True,True,6,8,4,9,22,10,25,13,1,2,17,23,-7,6,8,192,South
South,6,8,False,True,True,True,1,1,4,9,22,11,25,13,0,3,19,23,192,6,8,191,West
