@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R1

@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute LivingGhost1 {False,True}
@attribute LivingGhost2 {False,True}
@attribute LivingGhost3 {False,True}
@attribute LivingGhost4 {False,True}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
1,8,False,True,False,False,1,1,7,7,5,1,7,1,0,7,0,0,East
2,8,False,True,False,False,1,1,6,7,5,1,7,1,0,5,0,0,East
3,8,False,True,False,False,1,1,5,7,5,1,7,1,0,3,0,0,East
4,8,False,True,False,False,1,1,4,7,5,1,7,1,0,1,0,0,East
5,8,False,True,False,False,1,1,5,7,5,1,7,1,0,1,0,0,South
11,10,True,True,True,True,5,5,7,10,21,9,25,14,11,4,11,18,Stop
11,10,True,True,True,True,6,5,6,10,21,10,25,14,10,5,10,18,West
10,10,True,True,True,True,5,5,5,10,21,9,25,14,10,5,12,20,West
9,10,True,True,True,True,5,5,5,9,22,9,25,15,9,5,14,20,West
8,10,True,True,True,True,6,5,4,9,22,10,25,14,7,5,14,20,West
7,10,True,True,True,True,6,6,5,9,22,10,24,14,5,3,15,20,West
6,10,True,True,True,True,6,7,5,9,23,10,24,13,3,2,17,22,South
6,9,True,True,True,True,6,8,4,9,22,10,25,13,1,2,17,23,South
6,8,False,True,True,True,1,1,4,9,22,11,25,13,0,3,19,23,West
5,8,False,True,True,True,1,1,5,9,22,10,24,13,0,1,19,25,North
5,9,False,False,True,True,1,1,3,1,22,11,25,13,0,0,19,25,West
4,9,False,False,True,True,1,1,3,1,23,11,25,14,0,0,21,27,East
5,9,False,False,True,True,1,1,3,1,22,11,25,15,0,0,19,25,East
6,9,False,False,True,True,1,1,3,1,22,10,24,15,0,0,17,23,East
7,9,False,False,True,True,1,1,3,1,22,11,23,15,0,0,17,21,East
8,9,False,False,True,True,1,1,3,1,22,12,23,14,0,0,17,21,East
9,9,False,False,True,True,1,1,3,1,23,12,23,15,0,0,17,19,East
10,9,False,False,True,True,1,1,3,1,22,12,22,15,0,0,15,17,East
11,9,False,False,True,True,1,1,3,1,22,13,22,14,0,0,15,17,East
12,9,False,False,True,True,1,1,3,1,21,13,23,14,0,0,13,15,East
13,9,False,False,True,True,1,1,3,1,21,12,22,14,0,0,11,15,East
14,9,False,False,True,True,1,1,3,1,22,12,23,14,0,0,11,14,East
15,9,False,False,True,True,1,1,3,1,22,13,23,14,0,0,11,12,East
16,9,False,False,True,True,1,1,3,1,23,13,22,14,0,0,11,12,East
17,9,False,False,True,True,1,1,3,1,24,13,23,14,0,0,11,11,North
17,10,False,False,True,True,1,1,3,1,24,14,23,14,0,0,11,9,North
17,11,False,False,True,True,1,1,3,1,25,14,23,13,0,0,11,9,North
17,12,False,False,True,True,1,1,3,1,25,13,23,14,0,0,9,7,North
17,13,False,False,True,True,1,1,3,1,25,14,23,13,0,0,9,7,East
18,13,False,False,True,True,1,1,3,1,25,15,23,14,0,0,9,7,East
19,13,False,False,True,True,1,1,3,1,25,15,23,15,0,0,8,7,East
20,13,False,False,True,True,1,1,3,1,24,15,24,15,0,0,6,5,East
21,13,False,False,True,True,1,1,3,1,24,14,23,15,0,0,4,3,East
22,13,False,False,True,True,1,1,3,1,24,13,23,14,0,0,2,2,North
22,14,False,False,True,True,1,1,3,1,24,12,23,14,0,0,4,2,East
23,14,False,False,True,True,1,1,3,1,24,13,24,14,0,0,2,2,East
24,14,False,False,True,False,1,1,3,1,24,13,25,14,0,0,1,0,South
1,3,True,True,True,True,1,10,2,8,2,9,3,7,7,6,7,6,Stop
1,3,True,True,True,True,1,9,2,7,1,9,3,7,6,5,6,5,North
1,4,True,True,True,True,1,9,2,6,1,9,2,7,5,3,5,5,North
1,5,True,True,True,True,1,10,2,7,1,9,2,8,5,3,4,3,East
2,5,True,True,True,True,1,9,2,8,1,10,2,7,5,3,6,3,North
2,6,True,True,True,True,2,9,2,9,1,9,3,7,3,3,4,3,North
2,7,True,True,True,True,2,9,2,10,1,10,3,8,2,3,4,2,East
3,7,True,True,True,True,3,9,2,10,1,9,3,8,2,4,4,1,North
3,8,True,True,True,False,4,9,2,9,1,10,7,1,2,2,4,0,North
3,9,True,True,True,False,4,8,2,8,1,9,7,1,2,2,2,0,West
2,9,True,False,True,False,4,9,3,1,1,9,7,1,2,0,1,0,West
1,9,True,False,False,False,5,9,3,1,5,1,7,1,4,0,0,0,South
1,8,True,False,False,False,4,9,3,1,5,1,7,1,4,0,0,0,East
2,8,True,False,False,False,3,9,3,1,5,1,7,1,2,0,0,0,East
3,8,True,False,False,False,2,9,3,1,5,1,7,1,2,0,0,0,North
4,12,True,True,True,True,9,3,11,7,19,12,22,9,14,12,15,21,Stop
4,12,True,True,True,True,10,3,11,8,19,12,22,9,15,11,15,22,Stop
4,12,True,True,True,True,9,3,10,8,19,12,22,8,14,10,15,21,West
3,12,True,True,True,True,10,3,10,9,19,12,21,8,16,10,16,22,West
2,12,True,True,True,True,10,4,10,10,19,11,21,8,16,10,18,22,East
2,11,True,True,True,True,10,5,10,9,19,11,20,8,14,10,17,20,East
3,11,True,True,True,True,10,4,10,9,19,11,19,8,14,9,16,20,East
