@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R4-7-weka.filters.unsupervised.attribute.Remove-R2-3

@attribute pacmanDirec {West,East,North,South,Stop}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
South,2,1,7,1,17,13,17,13,0,0,3,3,East
West,1,1,5,12,5,1,7,1,0,6,0,0,North
West,1,10,2,8,2,9,7,1,4,1,2,0,North
West,10,13,13,13,14,13,17,13,14,13,14,17,North
West,10,13,13,13,14,13,17,13,11,14,15,18,North
West,10,13,13,13,14,13,17,13,6,9,10,13,North
West,4,9,7,9,5,1,7,1,5,4,0,0,North
West,1,9,6,7,5,1,7,1,3,4,0,0,North
West,1,1,5,9,22,10,24,13,0,1,19,25,North
West,10,13,12,13,15,13,16,13,14,12,15,17,North
West,11,13,14,15,15,15,16,13,12,17,18,17,North
West,11,13,17,15,17,15,15,13,7,15,15,10,North
West,1,8,10,12,5,1,7,1,3,16,0,0,North
West,6,6,4,10,1,6,7,1,2,6,5,0,North
West,1,1,6,6,2,9,7,1,0,5,4,0,North
West,1,1,3,1,3,8,7,1,0,0,3,0,North
West,1,1,3,1,3,9,7,1,0,0,1,0,North
West,11,13,14,14,15,13,16,13,13,15,15,15,North
West,13,13,13,15,14,13,16,13,14,16,15,18,North
West,10,13,8,14,16,13,16,13,6,5,12,12,North
East,1,1,5,12,5,1,7,1,0,5,0,0,North
East,1,1,3,1,21,9,25,14,0,0,18,27,North
East,1,1,3,1,21,9,25,14,0,0,12,21,North
East,1,1,3,1,21,9,25,14,0,0,7,16,North
East,1,1,3,1,5,1,25,14,0,0,0,5,North
East,1,10,2,8,2,9,3,7,7,4,5,2,North
East,1,1,11,7,19,12,22,9,0,4,17,17,North
East,1,1,3,1,19,12,22,9,0,0,8,2,North
East,10,13,13,13,14,13,17,13,9,8,9,12,North
East,1,1,3,1,24,13,23,14,0,0,11,11,North
East,1,1,3,1,24,13,23,14,0,0,2,2,North
East,1,9,2,8,1,10,2,7,5,3,6,3,North
East,3,9,2,10,1,9,3,8,2,4,4,1,North
East,2,9,3,1,5,1,7,1,2,0,0,0,North
East,10,6,10,12,20,12,21,9,5,3,13,14,North
East,1,1,3,1,19,11,23,10,0,0,10,6,North
East,10,13,15,15,16,15,16,13,9,12,13,11,North
East,1,2,17,18,6,1,6,1,27,5,0,0,North
East,1,2,18,21,5,1,9,1,33,3,0,0,North
East,1,1,7,12,5,1,7,1,0,5,0,0,North
East,1,1,3,1,15,7,23,14,0,0,10,24,North
East,1,1,3,1,5,1,23,11,0,0,0,11,North
East,1,1,3,1,5,1,23,10,0,0,0,2,North
East,1,7,2,8,1,8,6,6,4,4,5,3,North
East,1,1,4,7,4,10,7,1,0,3,2,0,North
East,12,13,12,15,13,13,15,13,7,9,8,11,North
North,5,6,5,12,13,6,13,12,12,8,6,2,North
North,1,1,5,12,5,1,7,1,0,5,0,0,North
North,1,1,5,12,5,1,7,1,0,4,0,0,North
North,1,1,5,12,5,1,7,1,0,3,0,0,North
North,1,1,5,12,5,1,7,1,0,2,0,0,North
North,1,1,3,1,21,9,25,14,0,0,17,26,North
North,1,1,3,1,21,9,25,14,0,0,11,20,North
North,1,1,3,1,5,1,25,14,0,0,0,4,North
North,1,1,3,1,5,1,25,14,0,0,0,3,North
North,1,1,3,1,5,1,25,14,0,0,0,2,North
North,1,1,3,1,5,1,25,14,0,0,0,1,North
North,1,10,2,8,2,9,3,7,6,5,6,5,North
North,1,10,2,8,2,9,3,7,6,3,4,1,North
North,1,10,3,1,2,9,7,1,3,0,1,0,North
North,1,10,3,1,5,1,7,1,2,0,0,0,North
North,1,1,11,7,19,12,22,9,0,3,16,16,North
North,1,1,11,7,19,12,22,9,0,2,15,15,North
North,1,1,11,7,19,12,22,9,0,1,14,14,North
North,1,1,3,1,19,12,22,9,0,0,7,1,North
North,1,1,3,1,19,12,7,1,0,0,6,0,North
North,1,1,3,1,19,12,7,1,0,0,5,0,North
North,1,1,3,1,19,12,7,1,0,0,4,0,North
North,10,13,13,13,14,13,17,13,13,12,13,16,North
North,10,13,13,13,14,13,17,13,10,13,14,17,North
North,10,13,13,13,14,13,17,13,9,12,13,16,North
North,10,13,13,13,14,13,17,13,8,7,8,11,North
North,10,13,13,13,14,13,17,13,7,6,7,10,North
North,10,13,13,13,14,13,17,13,5,8,9,12,North
North,10,13,13,13,14,13,17,13,4,7,8,11,North
North,10,13,13,13,14,13,17,13,3,6,7,10,North
