@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R21-23-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R2-15-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.Remove-R5

@attribute pacmanDirec=West numeric
@attribute pacmanDirec=East numeric
@attribute pacmanDirec=North numeric
@attribute pacmanDirec=South numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
0,0,0,1,0.384615,0.217391,0.782609,0.689655,East
0,1,0,0,0.384615,0.217391,0.695652,0.62069,East
0,1,0,0,0.346154,0.217391,0.695652,0.62069,South
0,0,0,1,0.269231,0.130435,0.695652,0.586207,East
0,1,0,0,0.230769,0.086957,0.695652,0.586207,East
0,1,0,0,0.153846,0.086957,0.608696,0.517241,North
0,0,1,0,0.192308,0,0.521739,0.517241,South
0,1,0,0,0.192308,0,0.521739,0.448276,South
0,0,0,1,0.115385,0,0.521739,0.448276,South
0,0,0,1,0.115385,0,0.521739,0.413793,South
0,0,0,1,0.115385,0,0.608696,0.413793,South
0,0,0,1,0.115385,0,0.695652,0.413793,East
0,1,0,0,0.115385,0,0.608696,0.413793,South
0,0,0,1,0.038462,0,0.608696,0.344828,East
0,1,0,0,0,0,0.521739,0.344828,East
0,1,0,0,0,0,0.521739,0.275862,North
0,0,1,0,0,0,0.478261,0.275862,East
0,1,0,0,0,0,0.391304,0.206897,East
0,1,0,0,0,0,0.391304,0.206897,East
0,1,0,0,0,0,0.347826,0.172414,East
0,1,0,0,0,0,0.26087,0.172414,East
0,1,0,0,0,0,0.173913,0.103448,East
0,1,0,0,0,0,0.26087,0.068966,East
0,1,0,0,0,0,0.304348,0.068966,East
0,1,0,0,0,0,0.347826,0,North
0,0,1,0,0,0,0.304348,0,North
0,0,1,0,0,0,0.217391,0,North
0,0,1,0,0,0,0.217391,0,North
0,0,1,0,0,0,0.217391,0,North
0,0,1,0,0,0,0.217391,0,North
0,0,1,0,0,0,0.217391,0,West
1,0,0,0,0,0,0.130435,0,West
1,0,0,0,0,0,0.086957,0,West
1,0,0,0,0,0,0.086957,0,West
1,0,0,0,0,0,0.043478,0,West
1,0,0,0,0.576923,0.565217,0.608696,0.517241,West
1,0,0,0,0.5,0.565217,0.608696,0.517241,North
0,0,1,0,0.423077,0.565217,0.608696,0.448276,North
0,0,1,0,0.423077,0.478261,0.608696,0.413793,West
1,0,0,0,0.423077,0.434783,0.608696,0.413793,West
1,0,0,0,0.5,0.478261,0.608696,0.482759,East
1,0,0,0,0.576923,0.478261,0.695652,0.482759,North
0,0,1,0,0.5,0.478261,0.608696,0.448276,North
0,0,1,0,0.5,0.434783,0.521739,0.448276,North
0,0,1,0,0.5,0.391304,0.478261,0.37931,East
0,1,0,0,0.423077,0.347826,0.478261,0.37931,East
0,1,0,0,0.346154,0.304348,0.391304,0.37931,East
0,1,0,0,0.346154,0.347826,0.478261,0.37931,North
0,0,1,0,0.269231,0.304348,0.478261,0.310345,North
0,0,1,0,0.192308,0.304348,0.434783,0.241379,North
0,0,1,0,0.192308,0.26087,0.434783,0.241379,West
1,0,0,0,0.192308,0.173913,0.391304,0.241379,West
1,0,0,0,0.230769,0.217391,0.304348,0.241379,East
1,0,0,0,0.269231,0.304348,0.26087,0.310345,West
1,0,0,0,0.307692,0.347826,0.26087,0.37931,North
0,0,1,0,0.307692,0.347826,0.26087,0.344828,North
0,0,1,0,0.307692,0.347826,0.217391,0.344828,North
0,0,1,0,0.269231,0.26087,0.173913,0.344828,North
0,0,1,0,0.192308,0.173913,0.086957,0.275862,North
0,0,1,0,0.192308,0.26087,0.086957,0.275862,North
0,0,1,0,0.269231,0.26087,0.086957,0.206897,East
0,1,0,0,0.230769,0.173913,0.043478,0.206897,East
0,1,0,0,0.192308,0.173913,0,0.172414,East
0,1,0,0,0.192308,0.173913,0,0.103448,East
0,1,0,0,0.115385,0.130435,0,0.172414,East
0,1,0,0,0.076923,0.043478,0,0.172414,South
0,0,0,1,0.076923,0,0,0.172414,South
0,0,0,1,0.076923,0,0,0.206897,East
0,1,0,0,0.076923,0,0,0.241379,East
0,1,0,0,0,0,0,0.310345,West
0,1,0,0,1,0,0,0.344828,West
0,1,0,0,0,0,0,0.344828,West
1,0,0,0,1,0,0,0.275862,West
1,0,0,0,0.961538,0,0,0.206897,West
1,0,0,0,0.884615,0,0,0.172414,North
0,0,1,0,0.884615,0,0,0.137931,North
0,0,1,0,0.923077,0,0,0.068966,West
1,0,0,0,0.846154,0,0,0.068966,West
1,0,0,0,0.807692,0,0,0.034483,West
0,0,1,0,0.5,0.391304,0.304348,0.103448,North
0,0,1,0,0.5,0.391304,0.391304,0.068966,East
0,1,0,0,0.576923,0.391304,0.391304,0.068966,East
0,1,0,0,0.653846,0.391304,0.391304,0.034483,East
0,1,0,0,0.653846,0.391304,0.391304,0,West
0,0,0,1,0.576923,0.478261,0.304348,0,South
0,0,0,1,0.5,0.478261,0.304348,0,South
0,0,0,1,0.423077,0.478261,0.304348,0,South
0,0,0,1,0.423077,0.565217,0.217391,0,South
0,0,0,1,0.384615,0.565217,0.217391,0,South
0,0,0,1,0.307692,0.652174,0.173913,0,South
0,0,0,1,0.307692,0.652174,0.086957,0,East
0,1,0,0,0.384615,0.73913,0.086957,0,South
