@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23

@attribute pacmanDirec {West,East,North,South,Stop}
@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute LivingGhost1 {False,True}
@attribute LivingGhost2 {False,True}
@attribute LivingGhost3 {False,True}
@attribute LivingGhost4 {False,True}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
West,9,3,True,True,True,True,10,13,12,13,17,13,14,13,11,13,18,16,North
North,9,4,True,True,True,True,10,13,13,13,17,13,15,13,10,13,17,16,North
North,9,5,True,True,True,True,10,13,13,14,17,13,16,13,9,13,16,14,North
North,9,6,True,True,True,True,11,13,14,14,16,13,15,13,9,13,14,12,East
East,10,6,True,True,True,True,12,13,14,14,17,13,14,13,9,12,14,11,East
East,11,6,True,True,True,True,11,13,13,14,16,13,14,13,7,10,12,11,East
East,12,6,True,True,True,True,10,13,14,14,17,13,15,13,9,10,12,10,North
North,12,7,True,True,True,True,11,13,14,15,16,13,15,13,7,10,10,9,North
North,12,8,True,True,True,True,12,13,13,15,17,13,15,13,5,8,10,8,North
North,12,9,True,True,True,True,13,13,13,15,16,13,15,13,5,7,8,8,West
West,11,9,True,True,True,True,12,13,14,15,17,13,16,13,5,9,10,8,East
West,10,9,True,True,True,True,13,13,15,15,16,13,15,13,7,11,10,9,East
West,9,9,True,True,True,True,12,13,15,15,15,13,15,13,7,12,10,10,East
West,8,9,True,True,True,True,11,13,15,15,14,13,15,13,7,13,10,12,North
North,8,10,True,True,True,True,11,13,16,15,14,14,16,13,6,13,10,10,North
North,8,11,True,True,True,True,10,13,15,15,14,14,15,13,4,11,9,10,North
North,8,12,True,True,True,True,11,13,14,15,14,13,16,13,4,9,7,9,North
North,8,13,True,True,True,True,10,13,13,15,14,14,16,13,2,7,7,9,North
North,8,14,True,True,True,True,10,13,14,15,14,15,17,13,3,7,7,9,South
North,8,15,True,True,True,True,11,13,15,15,14,14,16,13,5,7,7,10,South
East,9,15,True,True,True,True,12,13,16,15,14,13,16,13,5,7,7,8,East
East,10,15,True,True,True,True,12,13,16,15,15,13,15,13,4,6,7,8,East
East,11,15,True,True,True,True,13,13,17,15,15,13,16,13,4,6,6,8,East
East,12,15,True,True,True,True,12,13,16,15,16,13,17,13,2,4,6,7,East
East,13,15,True,True,True,True,11,13,17,15,16,13,17,13,4,4,5,5,South
South,13,14,True,True,True,True,11,13,16,15,17,13,16,13,3,4,5,4,South
South,13,13,True,True,True,True,12,13,17,15,17,13,16,13,1,6,4,2,West
West,12,13,False,True,True,True,2,1,18,15,17,13,15,13,0,8,5,2,East
West,11,13,False,True,True,True,3,1,18,15,16,13,14,13,0,9,5,3,East
West,10,13,False,True,True,True,2,1,19,15,16,13,14,13,0,11,6,4,East
East,11,13,False,True,True,True,1,1,19,14,16,13,14,13,0,9,5,2,East
East,12,13,False,True,True,True,1,1,19,14,16,13,13,13,0,8,4,2,East
East,13,13,False,True,True,False,1,2,19,13,16,13,14,13,23,6,3,0,East
East,14,13,False,True,True,False,1,2,19,14,16,13,7,1,24,6,2,0,East
East,15,13,False,True,True,False,1,1,19,15,17,13,6,1,0,6,2,0,East
East,16,13,False,True,False,False,1,1,19,15,5,1,6,1,0,5,0,0,East
East,17,13,False,True,False,False,2,1,18,15,4,1,6,1,0,3,0,0,West
West,16,13,False,True,False,False,2,1,17,15,5,1,5,1,0,3,0,0,East
West,15,13,False,True,False,False,3,1,17,15,5,1,4,1,0,4,0,0,East
West,14,13,False,True,False,False,2,1,18,15,4,1,3,1,0,6,0,0,North
North,14,14,False,True,False,False,3,1,17,15,4,1,3,1,0,4,0,0,North
North,14,15,False,True,False,False,4,1,16,15,5,1,3,1,0,2,0,0,East
East,15,15,False,True,False,False,4,1,16,15,6,1,2,1,0,1,0,0,East
North,12,11,True,True,True,True,5,6,5,11,14,6,13,12,12,7,7,3,North
North,12,12,True,True,True,True,5,5,6,11,13,6,14,12,14,7,7,2,East
East,13,12,True,True,True,True,4,5,6,12,12,6,14,12,16,7,7,1,East
East,14,12,True,True,True,False,4,5,6,12,12,5,7,1,17,8,9,0,West
North,14,13,True,True,True,False,4,4,6,13,12,5,7,1,19,8,10,0,West
West,13,13,True,True,True,False,4,4,6,13,13,5,7,1,18,7,8,0,West
West,12,13,True,True,True,False,4,5,6,12,14,5,7,1,16,7,10,0,South
South,12,12,True,True,True,False,3,5,7,12,14,5,7,1,16,5,9,0,West
West,11,12,True,True,True,False,3,6,8,12,15,5,7,1,14,3,11,0,West
West,10,12,True,True,True,False,4,6,8,13,15,5,7,1,12,3,12,0,North
North,10,13,True,True,True,False,5,6,8,14,15,6,7,1,12,3,12,0,North
North,10,14,True,True,True,False,6,6,9,14,15,7,7,1,12,1,12,0,West
West,9,14,True,False,True,False,6,5,3,1,14,7,7,1,12,0,12,0,South
South,9,13,True,False,True,False,5,5,3,1,14,7,7,1,12,0,11,0,South
South,9,12,True,False,True,False,6,5,3,1,14,6,7,1,10,0,11,0,South
South,9,11,True,False,True,False,5,5,3,1,14,6,7,1,10,0,10,0,South
South,9,10,True,False,True,False,5,5,3,1,14,6,7,1,9,0,9,0,South
South,9,9,True,False,True,False,6,5,3,1,14,7,7,1,7,0,7,0,South
South,9,8,True,False,True,False,5,5,3,1,14,6,7,1,7,0,7,0,South
South,9,7,True,False,True,False,6,5,3,1,14,7,7,1,5,0,5,0,South
South,9,6,True,False,True,False,6,5,3,1,13,7,7,1,4,0,5,0,South
South,9,5,True,False,True,False,6,4,3,1,13,7,7,1,4,0,6,0,South
South,9,4,True,False,True,False,6,3,3,1,13,8,7,1,4,0,8,0,South
South,9,3,True,False,True,False,7,3,3,1,12,8,7,1,2,0,8,0,West
West,8,3,True,False,True,False,7,4,3,1,12,9,7,1,2,0,10,0,North
North,8,4,True,False,True,False,7,4,3,1,12,8,7,1,1,0,8,0,West
West,7,4,False,False,True,False,1,1,3,1,12,7,7,1,0,0,8,0,North
North,7,5,False,False,True,False,1,1,3,1,12,8,7,1,0,0,8,0,North
North,7,6,False,False,True,False,1,1,3,1,11,8,7,1,0,0,6,0,North
North,7,7,False,False,True,False,1,1,3,1,11,8,7,1,0,0,5,0,North
North,7,8,False,False,True,False,1,1,3,1,11,9,7,1,0,0,5,0,North
North,7,9,False,False,True,False,1,1,3,1,11,9,7,1,0,0,4,0,East
East,8,9,False,False,True,False,1,1,3,1,11,9,7,1,0,0,3,0,East
East,9,9,False,False,True,False,1,1,3,1,10,9,7,1,0,0,1,0,East
West,10,10,True,True,True,True,6,5,7,11,22,9,25,14,9,4,13,18,North
North,10,11,True,True,True,True,5,5,6,11,22,10,25,13,11,4,13,17,West
West,9,11,True,True,True,True,5,5,6,11,22,11,25,13,10,3,13,17,West
West,8,11,True,True,True,True,4,5,6,10,21,11,24,13,10,3,13,17,South
South,8,10,True,True,True,True,4,5,5,10,22,11,23,13,9,3,15,18,West
West,7,10,True,True,True,True,4,6,5,9,22,10,23,13,7,3,15,20,South
South,7,9,True,True,True,True,4,6,5,8,23,10,23,14,6,3,17,20,South
South,7,8,True,True,True,True,4,5,5,8,23,9,22,14,6,2,17,22,West
West,6,8,True,False,True,True,5,5,3,1,23,10,22,15,4,0,19,23,South
