@relation var5_nonorm_nobalanced-weka.filters.unsupervised.attribute.Remove-R16-19-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute pacmanDirec {West,East,North,South,Stop}
@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute LivingGhost1 {False,True}
@attribute LivingGhost2 {False,True}
@attribute LivingGhost3 {False,True}
@attribute LivingGhost4 {False,True}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute action {West,East,North,South,Stop}

@data
West,0.25,0.45,True,True,True,True,0.357143,0.357143,0.176471,0.4,0.875,0.6,0.956522,0.928571,West
West,0.208333,0.45,True,True,True,True,0.357143,0.428571,0.176471,0.4,0.916667,0.6,0.956522,0.857143,South
South,0.208333,0.4,True,True,True,True,0.357143,0.5,0.117647,0.4,0.875,0.6,1,0.857143,South
South,0.208333,0.35,False,True,True,True,0,0,0.117647,0.4,0.875,0.666667,1,0.857143,West
West,0.166667,0.35,False,True,True,True,0,0,0.176471,0.4,0.875,0.6,0.956522,0.857143,North
North,0.166667,0.4,False,False,True,True,0,0,0.058824,0,0.875,0.666667,1,0.857143,West
West,0.125,0.4,False,False,True,True,0,0,0.058824,0,0.916667,0.666667,1,0.928571,East
East,0.166667,0.4,False,False,True,True,0,0,0.058824,0,0.875,0.666667,1,1,East
East,0.208333,0.4,False,False,True,True,0,0,0.058824,0,0.875,0.6,0.956522,1,East
East,0.25,0.4,False,False,True,True,0,0,0.058824,0,0.875,0.666667,0.913043,1,East
East,0.291667,0.4,False,False,True,True,0,0,0.058824,0,0.875,0.733333,0.913043,0.928571,East
East,0.333333,0.4,False,False,True,True,0,0,0.058824,0,0.916667,0.733333,0.913043,1,East
East,0.375,0.4,False,False,True,True,0,0,0.058824,0,0.875,0.733333,0.869565,1,East
East,0.416667,0.4,False,False,True,True,0,0,0.058824,0,0.875,0.8,0.869565,0.928571,East
East,0.458333,0.4,False,False,True,True,0,0,0.058824,0,0.833333,0.8,0.913043,0.928571,East
East,0.5,0.4,False,False,True,True,0,0,0.058824,0,0.833333,0.733333,0.869565,0.928571,East
East,0.541667,0.4,False,False,True,True,0,0,0.058824,0,0.875,0.733333,0.913043,0.928571,East
East,0.583333,0.4,False,False,True,True,0,0,0.058824,0,0.875,0.8,0.913043,0.928571,East
East,0.625,0.4,False,False,True,True,0,0,0.058824,0,0.916667,0.8,0.869565,0.928571,East
East,0.666667,0.4,False,False,True,True,0,0,0.058824,0,0.958333,0.8,0.913043,0.928571,North
North,0.666667,0.45,False,False,True,True,0,0,0.058824,0,0.958333,0.866667,0.913043,0.928571,North
North,0.666667,0.5,False,False,True,True,0,0,0.058824,0,1,0.866667,0.913043,0.857143,North
North,0.666667,0.55,False,False,True,True,0,0,0.058824,0,1,0.8,0.913043,0.928571,North
